text,label
" Fed Up With Congress, Trump Just Put A Big Nail In Obamacare’s Coffin",fake
 Hypocrite Ivanka Gets SKEWERED For Approving Dad’s Move To Kill Obama Pay Equality Rules,fake
" Trump Goes On Psychotic Mexico Rant During News Conference, Mexico Responds PERFECTLY (VIDEO)",fake
" BREAKING: Trump Goes Full Racist AGAIN, Pardons Sheriff Joe Arpaio",fake
 We May Soon Know The Sources Of Christopher Steele’s Trump ‘Dossier’,fake
" Did Ron Paul Just Confuse Al-Qaeda With ISIS, Or Does He Simply Not Know The Difference? (TWEETS)",fake
" After Charlottesville GOP Asks Supporters How Trump Is Doing: Great, Good, Or Just Okay?",fake
 Al Gore Has The PERFECT Piece Of Advice For Donald Trump,fake
 Even Robert E. Lee’s Great-Great Grandson Wants Statues Torn Down,fake
" Fox Host Goes Rogue, Shreds Trump’s ‘Cowardly And Dangerous’ Charlottesville Remarks (VIDEO)",fake
 Nazi Website Praises Trump’s Pathetic Response To Charlottesville Violence,fake
" Trump Is Raising Your Healthcare Premiums, And That’s A Fact",fake
" Desperate For Members, White Supremacists Beg Rally Goers To Make It ‘Sexy’ – No Joke",fake
 Obama Admin Official Just Humiliated Trump By Calling Out His Nuclear Weapons Lie,fake
" In Public, Trump Calls The Investigation A Witch Hunt – In Private He’s Trying To Influence Mueller",fake
 Senator Who Has Accomplished Nothing Is Very Upset People Think He’s Accomplished Nothing,fake
 Report: Corrupt Wall Streeters Are Three Times More Likely To Go Unpunished Under Trump,fake
 Kellyanne Conway On Trump Administration’s Lies: But What About Benghazi! (VIDEO),fake
 Emboldened NRA Threatens New York Times: ‘We’re Coming For You’ (VIDEO),fake
 Australia Prime Minister Tells Trump To Man Up And Accept Refugees Because ‘A Deal’s A Deal’,fake
" The Most Hated Man In Corporate America Wants Scaramucci’s Job, Because Why Not?",fake
 WATCH: Trump Really Does Think He’s On A West Wing Edition Of ‘The Apprentice’,fake
 New Report Says Trump Destroyed Scaramucci’s Marriage,fake
 GOP Rep Blames Media For Trump’s Attacks On Sessions,fake
" Apparently, Trump Is Sad He Has No Eric Holder",fake
 BREAKING: Desperate GOP Senators Drag John McCain Back To Washington For Trumpcare Vote,fake
 Male Republican Blames ‘Female Senators’ For GOP Failure To Pass Health Law,fake
 Retired Colonel BLASTS Trump’s ‘Amateur’ Demand That Navy Sailors Support GOP Legislation (VIDEO),fake
" BAD NEWS For Trump: Memo Proves He Is Not Above The Law, Can Be Indicted",fake
 Trump’s Legal Team In Uproar After He Forces Them To Attack Robert Mueller,fake
 Senate Gives Trump Jr. Ultimatum: Respond By Friday Or Face Subpoena,fake
" Trump Campaign Manager Was In Debt To Shady Russian Interests, Obviously Compromised",fake
 Trump And Putin Had A Secret Meeting After Their ‘Official’ One,fake
 Trump Goes Into Full Denial Mode During Temper Tantrum Over Historically Low Approval Rating,fake
 Trump Jr. Also Met With Ex-Soviet Intelligence Officer To Get Dirt On Hillary Clinton,fake
 Apparently Donald Trump Has An Imaginary Xenophobic Friend Named Jim,fake
 These Charts Show Why We’re All Screwed Under The GOP Health Care Bill,fake
" Marco Rubio Grows A Spine, Blasts Trump For Trying To Team Up With Putin",fake
 Paul Ryan Refuses To Hold Town Halls Because He’s Too Afraid Of Protesters,fake
 Confused Looking Trump Totally HUMILIATES Himself When He Gets Lost On Stage In Poland,fake
" EVERY State In America Just Turned On Trump, This Is A Major ‘F*ck You’ To POTUS (DETAILS)",fake
 City Of Chicago Just Told Trump To Go F*ck Himself With A Huge Golden Statue (IMAGES),fake
" Hannity Defends Trump With Psychotic Threat To Morning Joe, This Could Ruin Him (TWEET)",fake
 Trump Just Got Caught Trying To Blackmail Morning Joe Hosts,fake
 WATCH: Kellyanne Conway Runs From Reporter Asking About Trump’s Vile Attack On Mika,fake
" No, The Democratic Base Is Not Ready To Get Rid Of Nancy Pelosi",fake
 The Absolutely Cringeworthy Moment Trump Tried Flirting With An Irish Reporter (VIDEO),fake
 Ivanka Trump Just Said The Dumbest Thing Imaginable During A Fox News Interview (VIDEO),fake
" In NC, It’s Not Rape If Person Revokes Consent During Sex",fake
" Fox News F*cks Up, Airs Interview That Might Actually Get Trump Impeached (VIDEO)",fake
 Trump Suffers HUMILIATING Reality Check After Bragging About The Number Of Bills He Has Signed,fake
 Dear Democrats: Throwing Nancy Pelosi Under The Bus Is Not The Answer (VIDEO),fake
 While Trying To Brag Trump Jr Accidentally Showed How Sexist Republicans Are And Now He’s Frantic,fake
 Disgusting Trump Super-PAC Uses Obama’s Voice To Help Steal Election,fake
" Trump Is Trying To Discredit Bob Mueller, And Here’s How",fake
 Newt Gingrich: Somebody Is Going To Jail Over Russia Probe But It Won’t Be Trump (VIDEO),fake
 The Army Field Manual Proves That Trump Is Too Mentally Unstable To Be President (DETAILS),fake
 Trump Whines About Hillary In Response To Obstruction Investigation,fake
" After GOP Congressman Shot, Democrats Are Getting Calls Saying ‘You Guys Are Next’",fake
 Sen. Heinrich Just Wiped The Floor Jeff Sessions During Intel Hearing (VIDEO),fake
 How The GOP Became The Party Of White Supremacists Under Donald Trump,fake
 Trump Firing Special Counsel Investigating Russian Connections A Possibility According To Attorney,fake
" Sessions PANICS, Cancels Public Testimony Because He Doesn’t Want To Answer Questions About Russia",fake
 WATCH: Watergate Reporter Carl Bernstein HAMMERS Trump For Being A Real Leaker,fake
 Trump Celebrates Pride Month By Being Saying We’re ‘Under Siege’ From Gay People,fake
 Hawaii Is The First State To Defy Trump’s Paris Agreement Withdrawl,fake
" Trump’s DOJ Said Executive Branch Can Withhold Info From Dems, Senators From BOTH Parties LIVID",fake
 Eric Trump Claims That Democrats Are “Not Even People” To Him In Fox News Interview (VIDEO),fake
 Four Top Law Firms REFUSE To Represent Deadbeat Trump In Russia Probe,fake
 Hillary Responds To Trump’s London Failure And It’s Absolutely Perfect (TWEET),fake
 ‘Just Stop’: Megyn Kelly Gets Dragged Around The Internet For Saying Putin Is A Swell Guy,fake
" Ted Nugent Calls For Hillary’s Murder AGAIN, Conservatives Silent (VIDEO)",fake
 Hannity Gets The ‘Snowflake’ Treatment After Melting Down Over Being Mocked In Satire Piece,fake
 U.S. Corporations Plead With Trump On Front Page Of NY Times: Don’t Abandon Paris Deal,fake
" Trump Posts Fox News Story Using Anonymous Source To ‘Vindicate’ Kushner, Entire World Calls BS",fake
 White House Officials Push For Kushner To Step Aside Amid Russia Scandal,fake
" Dear President Moron: Since You Don’t Seem To Get How NATO Works, Please Allow Me To Educate You",fake
 Trump-Backed Republican Candidate Bodyslams Journalist Night Before Election,fake
 Trump White House Wishes ‘Lasting Peach’ In The Middle East (IMAGE),fake
" Trump Defies Courts, Refuses To Release Guiliani Memo Proving Intent To Ban Muslims",fake
" Despite Being Warned, Trump Immediately Gives Saudi Hosts An Insulting ‘Middle Finger’ Gesture",fake
 Trump’s FCC Will Decimate Internet Freedom (VIDEO),fake
 Children Will Suffer: Trumpcare Would Cut $46B In Healthcare Funds For Kids,fake
 The Hilarious Way WH Staff Secretly Signaled They Have No Idea Why Ivanka Is Allowed In Meetings,fake
" FBI MEMO CONFIRMS: Trump Told Comey To End Russia Probe, Attack Press In The Most ABHORRENT Way",fake
 Trump Shocked As New Poll Reveals The Future Of Trumpcare; It’s Worse Than You Thought (Details),fake
 KKK Style Mob Chants “Russia Is Our Friend” While Protesting Confederate Statue Removal (VIDEO),fake
 Desperate Trump Considers Dumping Spicer For Fox News Host,fake
 Republicans Were Just Told To Stop Talking About Healthcare Repeal Because It’s Political Suicide (DETAILS),fake
 WTF? Trump Demanded Comey’s ‘Loyalty’ At Private Dinner,fake
" Dan Rather Blasts GOP For Protecting Trump, Gives Them A Tongue Lashing They’ll Never Forget (VIDEO)",fake
 Betsy DeVos TOTALLY HUMILIATED During Keynote Speech At Historically Black University,fake
 Trump Just Made His 2 Most DUNDERHEADED Moves Yet After Firing Comey (DETAILS),fake
 President Obama Tells Audience Why Americans Deserve Trump And Republicans,fake
 Trump Hired Flynn After Obama SPECIFICALLY Warned Him Not To – Now Karma Is Coming For Trump. Hard.,fake
 More Networks Join in the Boycott of New Trump Ad,fake
 Dumbass Alaska Lawmaker Claims Women Have Abortions For A ‘Free Trip To The City’ (VIDEO),fake
 Ben Carson: Homeless Shelters Shouldn’t Be “Comfortable” Because People Might “Stay”,fake
 Andrew Jackson Biographer: Trump Actually Said He Could Have Prevented The Civil War (VIDEO),fake
" Trump Freaks Out, Ends Interview When Reporter Asks Him To Prove Obama Wiretap Accusation (VIDEO)",fake
 Schumer Breaks It Down: Explains Why Trump Hasn’t Accomplished Sh*t (VIDEO),fake
" Desperate For Guests, Fox News’ O’Reilly Replacement Invites Fabio On To Bash Liberals (VIDEO)",fake
 Trump Put An American Flag On His Birthday Tweet To Melania – There’s Just ONE Problem (TWEETS),fake
 Trump Considers ‘Terminating NAFTA’ With Executive Order (DETAILS),fake
 Court Slams Down Trump’s Order Blocking Funding To Sanctuary Cities,fake
 Trump Supporter Scott Baio Makes SHOCKINGLY Insensitive Comment About Former Co-Star’s Death,fake
 Trump Won’t Give Sean Spicer The Boot Because ‘That Guy Gets Great Ratings’,fake
 KARMA: Wikileaks Turns On Donald Trump After Administration Threatens To Arrest Julian Assange,fake
 Stephen Colbert SCORCHES Jeff Sessions’ Racism In One Brilliant Tweet,fake
" BREAKING: It’s Real, Russia Stole Our Election And Now Officials Have Definitive PROOF",fake
 WATCH: Donald Trump Doesn’t Seem To Know Who The Leader Of North Korea Is,fake
 Trump Finally Found A Book He Can ‘Read’ And The Internet Can’t Stop Laughing At Him,fake
 WATCH: SNL BRUTALLY Mocks The Kushner/Bannon Feud In HILARIOUS Reality Show Spoof,fake
 Local Fox Affiliate Just Gave Fox News A GIANT Middle Finger Over Their Biased News,fake
" This Guy Predicted Trump’s Win, And What He Has To Say Now Should TERRIFY Republicans",fake
 Trump Campaign Manager Registering As Foreign Agent After Lobbying For Russian Interests,fake
 Jeff Sessions’ Written Immigration Speech Puts His REVOLTING Beliefs About Immigrants On Display,fake
" While Her Department Gets Gutted, Billionaire Betsy DeVos DEMANDS Extra Expensive Security",fake
 Rep. Ted Lieu Issues Blistering Takedown Of Trump’s Illegal Missile Strike (VIDEO),fake
 Federal Judge Just Gave Attorney General Jeff Sessions A Huge F*ck You,fake
 Former SNL Cast Member Breaks Silence On Trump’s EMBARRASSING Behavior At Rehearsal (VIDEO),fake
 Trump’s Administration Was Just Caught Up In Prostitution Scandal; Here’s How It Went Down (DETAILS),fake
 WATCH: Louis C.K. NAILS Trump And His Gullible Supporters During Appearance On Colbert,fake
 Women TORCH Ivanka Trump For Celebrating Equal Pay Day After Her Dad Reverses Equal Pay Protection,fake
 Obama Officials Were Forced To Take BIZARRE Measure To Ensure Trump Didn’t Hide Russia Documents,fake
 The Internet SAVAGES Trump After He Promotes Fox News Propaganda Again (TWEETS),fake
 Trump Gets Smacked Down After His Immensely Stupid Flynn Immunity Tweet (TWEETS),fake
 ‘He Feels Great’: Spicer Says Trump Not Concerned Taxpayers Pay For Mar-a-Lago Trips,fake
 WATCH: Conservationist Jane Goodall BLASTS Trump’s Attack On Climate Science,fake
 Fox News Host Tells Black Congresswoman To ‘Step Away From Crack Pipe’ (VIDEO),fake
" WATCH: After Facing Angry Constituents At Town Hall, GOP Rep Runs Out The Back Door",fake
 Someone Just Showed What Trump Was Doing At His Golf Club While He Said He Was In ‘Meetings’ (PHOTO),fake
 The Wall Street Journal HUMILIATES Trump And GOP For Choking On Healthcare Bill,fake
 WATCH: Hell Freezes As Fox News Host Calls Republican Party A ‘Disgrace’ For Being Incapable Of Governing,fake
 Desperate GOP LITERALLY Spreads Trump’s Wiretap Lies To Fleece Their Supporters,fake
 BOMBSHELL: Devin Nunes’ Entire Net Worth Sunk In Company With Strong Ties To Russia,fake
" Trump Campaign Manager Busted In Another HUGE Lie, Worked For A Decade To ‘Benefit Putin Government’ (DETAILS)",fake
 BUSTED: Republican Conspired With Aide To Label Angry Constituents ‘Un-American’ For Booing Him,fake
 Trump Stands By Wiretapping Lie Despite EVERY Investigation Confirming It’s Bullsh*t,fake
 Even The Pope Is F*cking Trump Up On Twitter (TWEETS),fake
 Jake Tapper Burns Trump With Bill Maher: He Is ‘Empirically Indecent’ (VIDEO),fake
 ‘Prepare To Kill’: Conservative Trump Fan Declares Open Season On Anyone Who Punches Nazis (VIDEO),fake
 Trump Just Got Owned HARD By McDonald’s Twitter Account And The Internet Is ‘Lovin’ It’ (SCREENSHOTS),fake
 CNN Host STUNS Sean Spicer With An ONSLAUGHT Of Facts About Obamacare Repeal (VIDEO),fake
 Oxford Fellow GLORIOUSLY Buries Trump For Trying To Discredit CBO Report On Trumpcare,fake
" Trump Friend Alex Jones Just Challenged Alec Baldwin To A Fight, And It’s Gonna Be Hilarious (VIDEO)",fake
" Steve King Tries To Defend White Supremacist Tweet; He Just Made Things Much, Much Worse (VIDEO)",fake
 John McCain Says Trump Is F*cked: ‘Lots Of Shoes To Drop From This Centipede’ (VIDEO),fake
 Did Trump’s Former Campaign Manager Have People Killed? His Daughters Say He Did,fake
" Spicer Wears National Symbol Of ‘Distress’ On His Lapel During Briefing, Internet Has Field Day",fake
" Mitch McConnell HUMILIATES Trump, Gives Him A BRUTAL Reality Check On Border Wall (VIDEO)",fake
 Dan Rather Just Took Republicans To The Woodshed For Passing Horrible Healthcare Bill,fake
 BREAKING: Sources Reveal Trump HIMSELF Met With Russian Ambassador During Campaign (DETAILS),fake
" While Everyone Was Distracted, Here Are Five Ways Trump Just Moved To F*ck Over Middle America",fake
 Even Trey Gowdy Thinks Trump’s Wiretap Conspiracy Is Crazy,fake
 White House Officials CONFIRM: Trump Got His Story About Obama Tapping His ‘Wires’ Directly From Breitbart,fake
 Saturday Night Live Takes On GOP Cowardice In Stunningly Accurate Faux Movie Trailer (VIDEO),fake
 Congressman Tells Trump He’s In ‘Deep S**t’ If Wiretapping Conspiracy Is True — And He’s Right (DETAILS),fake
 Rachel Maddow Reveals Her Secret To Successfully Covering Trump,fake
" Former Secretary Of State Drops MASSIVE Shocker On Trump’s Foreign Policy, And He’ll DESPISE It",fake
 Trump Jr Was Paid $50k For An Event Hosted By Russian Allies In October (DETAILS),fake
 Dem AGs Respond To Trump Rolling Back Clean Water Rule: See You In Court!,fake
" Jon Stewart Brilliantly Reveals Trump’s MAJOR Character Flaw, And It’s SO True (VIDEO)",fake
 White House Now Planting Fake Stories To Discredit Reporters Who Expose Trump’s Bullsh*t,fake
 Trump Goes On DELUSIONAL Tweet Storm About Democratic Party Chair Election (DETAILS),fake
 While Chanting ‘USA! USA! USA!’ CPAC Attendees Wave Russian Flags (TWEETS),fake
 Top Conservative Tries To Define ‘Alt-Right’ And Gets It INSANELY Wrong,fake
 GOP Rep. Says People Could Use Bales Of Marijuana To Smuggle Nukes Into The Country (VIDEO),fake
 Swedish Police APPALLED At Level Of Deception In Film Trump Blamed For His ‘Terror Attack’ Lie,fake
 Rick Santorum On CNN Addresses Anti-Semitism Under Trump: It’s Obama’s Fault (VIDEO),fake
 Mexico Just RUINED Donald Trump’s Plans In The Best Way Possible,fake
 Trump Gives Press Credentials To A Racist Blog That LITERALLY Publishes Fake News,fake
 Trump BUSTED Inviting Rich Friends To Sit In On Interviews For ‘Dictators’ In His Cabinet (AUDIO),fake
 REPORT: Even Republicans Are ‘Disturbed’ By Trump As Congress Looks For A Way To Oust Him,fake
 Prominent Psychiatrist Gives One DAMNING Reason Why We Shouldn’t Call Trump ‘Mentally Ill’ (IMAGE),fake
 New York’s Attorney General Could Literally Put Trump Out Of Business,fake
 What Dan Rather Has To Say About Trump’s ‘Deadly Serious’ Flynn Scandal Is ‘Chilling’,fake
 Hillary BRILLIANTLY Trolls Trump As His Fledgling Administration Plunges Further Into Chaos (TWEET),fake
 REPORT: Chaos Reigns Inside The White House As Trump Considers Firing Priebus And Flynn,fake
 Mark Cuban Hilariously BURNS Trump For Attacking Him On Twitter (TWEETS),fake
 WATCH: Republican Calls Town Hall Crowd ‘Children’ After They Boo His Lies About Affordable Care Act,fake
 Trump And His ‘Law And Order’ AG Sign Executive Orders Giving Cops Power To Shoot Black People,fake
 Obama’s Attorney General Just Spit In Trump’s Face Over 9th Circuit Court Ruling,fake
" Republicans Silenced Elizabeth Warren For Opposing Jeff Sessions, But Her Response Will TERRIFY Them (TWEETS)",fake
 WATCH: Sean Spicer Spits On Coretta Scott King’s Grave In Defense Of Jeff Sessions,fake
 Yemen Just Told Trump to Stay The F*ck Out Of Their Country After Disastrous FAILURE Of A Raid,fake
 Hillary Just Joined #TheResistance In BRILLIANT Video Without Even Mentioning Trump,fake
 WATCH: Senate Dems Hold 24-Hour Debate Marathon As Last Stand Against DeVos Confirmation,fake
 Trump Insists His Muslim Ban Has Been ‘Going Smoothly’ (VIDEO),fake
 WATCH: Trump Literally Promises To Gut Financial Regulations So His Friends Can Screw The Economy,fake
" Howard Stern Says Trump Is ‘Pissed’ That He Won, Has A ‘Sensitive Ego’ (AUDIO)",fake
 Over 40 Percent Of America Supports Impeaching Donald Trump,fake
 Radio Stations Around The Country Hacked To Play YG’s ‘F*** Donald Trump’ Song (VIDEO),fake
" Trump Uses Prayer Breakfast To Mock Arnold Schwarzenegger, Gets HUMILIATED In 14 Priceless Seconds",fake
 Study Shows Democrats Are Better Drivers For This SHOCKING Reason (DETAILS),fake
 Democratic Senator Joins #THERESISTANCE: Says Trump Stole Obama’s SCOTUS Seat (DETAILS),fake
" BUSTED: Trump’s Education Nominee Plagiarized, Which Students Are Taught Not To Do",fake
 Spicer: It Would Be ‘Misguided And Wrong’ To NOT Handcuff 5-Year-Old Muslim Children (VIDEO),fake
" Trump Press Secretary F*cks Up, Idiotically Retweets Satire Video Making Fun Of Him",fake
 Dulles Airport ERUPTS As Detained Family Reunites After Trump’s Muslim Ban (VIDEO),fake
 Google CEO SHREDS Trump’s Immigration Ban For Being Bad For Business And Families,fake
 Conway: Mexico Won’t Pay For The Wall Because They Want To Keep Drugs ‘Pouring’ Into America (VIDEO),fake
 Someone Just Bought AlternativeFacts.com And It’s F**king Brilliant (IMAGE),fake
" While We Were Sleeping, Trump Declared Civil War",fake
 Trump Targets Clean Water And Clean Air Regulations At Environmental Protection Agency,fake
 The Netherlands Just TROLLED Trump In His Own Words And It’s Hilariously BRILLIANT (VIDEO),fake
 Trump Legally Declares His Inauguration A Historic Day,fake
" Border Chief Just Gave Trump A BRUTAL Reality Check About His Border Wall, Supporters DEVASTATED (VIDEO)",fake
 Crowd Scientists Have BAD News For Trump Over Inauguration Crowd Size Vs. Women’s March,fake
 Trump Said The Media Lied About His PATHETIC Inauguration Crowds. CNN’s Response Is PERFECT (VIDEO),fake
 Trump Just Waved His Magic Wand And Made Major Information On Climate Change Disappear (IMAGES),fake
 Trump SCRAMBLING To Fill Over 600 Empty Posts – Literally Has ONE Option Ahead Of Swearing-In,fake
 Trump’s Pre-Inauguration Tweets Just Earned Him An Epic Smackdown From The Internet (TWEETS),fake
" Trump Tweets Deranged, Self-Congratulatory ‘Fake News’ Rant And Gets His Ass Stomped By The Internet",fake
 WATCH: Republican Lawmaker Gets Relentlessly Booed And Heckled For Obamacare Repeal Vote,fake
 Here’s The Disgusting Letter The FBI Sent To MLK They Don’t Want You To See (UNCENSORED IMAGE),fake
 Anonymous Just Took An Interest In Donald Trump’s Russian Lady Pee Saga (TWEETS),fake
" Trump Died A Little Inside After SNL, So He Claimed That Democrats Voted For Him To Make Himself Feel Better",fake
 Pastor Drops MASSIVE Truth Bomb About Liberal Tolerance That Will Have Trump Lovers FUMING,fake
 Missouri State Rep. Has DUMBEST Idea EVER For ‘Helping’ Unarmed People In State Capitol (IMAGE),fake
 Trump Congratulates Himself For His Own Press Conference And Twitter SHATTERS His Fragile Ego,fake
 Man Claims He Gave Trump A Golden Shower And He Has Evidence To Back It Up (VIDEO),fake
 WATCH: Gabrielle Union Strongly CALLS OUT Trump And Kellyanne Conway On Their Bullsh*t,fake
 Donald Trump Posts A Picture Of Himself With Ronald Reagan And All Hell Breaks Loose (TWEETS),fake
 Donald Trump Just Gutted The Agency That Maintains Our Nuclear Arsenal,fake
 Kerry Washington Just Delivered A PERFECT One Liner To George W. Bush’s Daughter (VIDEO),fake
 WATCH: Kellyanne Conway Gets Grilled So Hard She Uses Any Excuse To Defend Trump,fake
 President Obama Ends His Presidency With 75 Straight Months Of Job Creation,fake
 Twitter Blasts Trump’s Ego To BITS After He Attacks His Own Show For Being Terrible (TWEETS),fake
 Chuck Schumer Has A BRILLIANT Response To Trump Calling Him A ‘Clown’,fake
 Dan Rather Has SHOCKING Response After Trump Sides With Assange Over America (TWEET),fake
 Ivanka Drops SHOCKING Bombshell On The Obamas Right Before They Leave White House (DETAILS),fake
 Bruce Springsteen Shares DEPRESSING Trump Truthbomb We Can All Agree On (VIDEO),fake
 Trump Posts First Hypocritical Tweet Of 2017 And INFURIATES Everyone,fake
 Trump Laughably Claims He Knows More About Cyber Attacks Than The CIA,fake
 Russia Hack Bigger Than We Thought; Electrical Grid Threatened,fake
 WATCH: Racist Trump Supporter Who Called Michelle Obama A ‘Gorilla’ Gets Booted Off School Board,fake
" Trump’s Labor Secretary Pick Wants To Eliminate Break Time, Overtime Pay, And Other Protections",fake
 Trump Just Claimed He Beat Obama In The Election And Got RIPPED APART By Twitter (TWEETS),fake
 Donald Trump Just Took Credit For Christmas And Twitter Is Tearing His F*cking Throat Out (TWEETS),fake
 George H. W. Bush Writes Letter Showing Trump How To NOT Be A Corrupt President,fake
 Chris Christie Says Only Stupid Judges Will Work For Low Wages; Teachers Can Still Suck It (VIDEO),fake
 Thanks Obama: Manufacturing Jobs Hits Decade High,fake
 President Obama Calls Out Fox News For Creating A “Fictional” Obama To Make People Hate Him,fake
 Fox News Host Bill O’Reilly Literally Just Endorsed White Supremacy (VIDEO),fake
 Trump Throws PETTY Hissy Fit Because Bill Clinton Told The Truth About Him At A Bookstore,fake
 Charlotte City Council Betrays LGBT Community In Exchange For Hearing On HB 2 Repeal,fake
 WATCH: Van Jones Takes Trump To The Woodshed For Unpatriotic Response To Russia Hack,fake
 Key Architect Of The Iraq War Now A Trump Surrogate,fake
 Trump Whines Like A Baby In Defense Of Russia Again And Gets OBLITERATED On Twitter,fake
 Elizabeth Warren Goes Off On Trump In Totally EPIC Series Of Tweets,fake
 BUSTED: South Carolina Trump Adviser Gets Slapped With 30 Counts Of Ethics Violations,fake
 BREAKING: Trump Is Now Directly Threatening Electors Who Don’t Vote For Him,fake
" BREAKING: Benghazi Committee Shuts Down After Trump Win, Proving It Was Just A Clinton Witch Hunt",fake
 JUST IN: White House Responds To Russian Election Hack; Trump Will Be PISSED (VIDEO),fake
 Chris Christie Reportedly Told Trump To Take His Cabinet Positions And Shove ‘Em,fake
 Trump Supporter RIPS Republicans For Ignoring Russian Interference To Help Trump Win Election,fake
" Secret CIA Report Shows Russia Hacked Both Parties, ONLY Released Dem Data To Help Trump (VIDEO)",fake
 Trump Gets His Safe Space As Women’s Protest Is BARRED From Inauguration Site,fake
 RNC Mouthpiece Joins Trump In Vicious Attacks On Carrier Union Leader,fake
" Pope Francis BLASTS Conservatives For ‘Sin’ Of Spreading Fake News, Equates It To Eating Feces",fake
 Trump Emboldens Ohio Republicans To Ban Abortion Six Weeks After Conception,fake
 Member Of Trump Team Resigns In Disgrace To Stop Media From Asking About This,fake
 Obama Makes UNPRECEDENTED Move To Protect The World From Trump (DETAILS),fake
 Donald Trump Nominates The Only Black Guy He Knows To Oversee Inner City Housing,fake
 Trump Gets His A** Handed To Him By Woman In EPIC Smackdown For Whining About SNL,fake
 The GOP Has A Plan For Obamacare: Repeal And Let The Sh*t Hit The Fan,fake
" Sarah Palin Turns On Trump, Blasts His Bad ‘Crony Capitalism’ Deal With Carrier",fake
 Trump Threw Himself A Victory Party And Barely Anyone Showed Up,fake
 WATCH: Trevor Noah Takes White Grievance Queen Tomi Lahren To The Woodshed,fake
 White Man Dedicates His Racist Attack To Trump While Beating Hispanic Man (IMAGE),fake
 Trump’s Attorney General Pick Thinks Kids With Disabilities Are Dragging Public Schools Down,fake
 White Trump Supporter EXPLODES In Store After Black Employees Offer Her A Bag (VIDEO),fake
 Keith Olbermann BURIES Trump For Whining About Recount Efforts,fake
